Order ID	Order Date	Order Priority	Order Quantity	Sales	Ship Mode	Shipping Cost	Unit price	Province	Customer Segment	Product Category	Product Sub-Category	Product Container	Ship Date
928	1/1/2011	Low	50	390.2	Express Air	7.4	7.80	British Columbia	Consumer	Furniture	Office Furnishings	Small Box	3/3/2011
10144	1/1/2011	Critical	50	192.49	Delivery Truck	30	3.85	British Columbia	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	1/4/2011
18144	1/1/2011	Critical	50	207.08	Regular Air	5.17	4.14	Northwest Territories	Corporate	Office Supplies	Paper	Small Box	6/9/2011
10369	1/1/2011	Low	50	683.68	Regular Air	8.99	13.67	British Columbia	Home Office	Technology	Computer Peripherals	Small Pack	11/14/2011
51008	1/1/2011	High	50	269.66	Regular Air	4.59	5.39	Quebec	Consumer	Office Supplies	"Scissors, Rulers and Trimmers"	Wrap Bag	8/22/2011
54882	1/2/2011	Critical	50	86.92	Regular Air	13.89	1.74	Manitoba	Consumer	Office Supplies	Pens & Art Supplies	Wrap Bag	2/8/2011
775	1/2/2011	Critical	50	31.87	Regular Air	1.2	0.64	Nova Scotia	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	3/19/2011
37505	1/2/2011	Low	50	384.41	Regular Air	5.76	7.69	British Columbia	Home Office	Technology	Office Machines	Medium Box	6/8/2011
31939	1/2/2011	High	50	1506.8375	Regular Air	4.2	30.14	Yukon	Small Business	Technology	Telephones and Communication	Small Box	6/27/2011
610	1/2/2011	Critical	50	283.65	Express Air	5.41	5.67	Manitoba	Home Office	Office Supplies	Paper	Small Box	8/3/2011
17283	1/3/2011	Not Specified	50	5472.12	Delivery Truck	14.7	109.44	Northwest Territories	Home Office	Technology	Office Machines	Jumbo Drum	9/15/2011
51361	1/3/2011	Critical	50	18056.68	Delivery Truck	60	361.13	Ontario	Corporate	Furniture	Tables	Jumbo Drum	3/22/2011
14401	1/3/2011	Not Specified	50	931.1495	Regular Air	2.5	18.62	Quebec	Small Business	Technology	Telephones and Communication	Small Box	8/6/2011
43298	1/3/2011	Not Specified	50	109.2	Regular Air	7.37	2.18	Alberta	Consumer	Office Supplies	Paper	Small Box	7/12/2011
13889	1/4/2011	Medium	50	12979.1	Delivery Truck	54.31	259.58	British Columbia	Small Business	Furniture	Chairs & Chairmats	Jumbo Drum	9/5/2011
37891	1/4/2011	High	50	1135.64	Delivery Truck	66.67	22.71	Ontario	Small Business	Furniture	Tables	Jumbo Box	10/20/2011
24804	1/4/2011	Not Specified	50	211.42	Regular Air	9.45	4.23	Alberta	Home Office	Office Supplies	Storage & Organization	Small Box	5/29/2011
35684	1/4/2011	Low	50	910.98	Regular Air	13.99	18.22	Alberta	Corporate	Technology	Office Machines	Medium Box	8/8/2011
58598	1/4/2011	Medium	50	13608.83	Delivery Truck	64.73	272.18	Ontario	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	8/23/2011
54245	1/4/2011	Medium	50	83.3	Regular Air	2.5	1.67	Ontario	Corporate	Technology	Telephones and Communication	Wrap Bag	3/25/2011
8006	1/4/2011	Medium	50	197.15	Express Air	5.2	3.94	Ontario	Consumer	Office Supplies	Paper	Small Box	6/5/2011
5607	1/4/2011	Not Specified	50	61.8715	Regular Air	5.03	1.24	Nunavut	Home Office	Technology	Telephones and Communication	Medium Box	1/3/2012
16802	1/4/2011	Medium	50	302.59	Express Air	6.93	6.05	New Brunswick	Home Office	Office Supplies	Paper	Small Box	4/21/2011
21799	1/4/2011	Not Specified	50	115.99	Express Air	2.4	2.32	New Brunswick	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	4/20/2011
45248	1/4/2011	Medium	50	154.85	Regular Air	5.13	3.10	Manitoba	Corporate	Office Supplies	Appliances	Small Box	4/18/2011
57633	1/5/2011	High	50	351.12	Express Air	3.92	7.02	British Columbia	Corporate	Furniture	Office Furnishings	Small Pack	2/7/2011
34596	1/5/2011	Critical	50	302.09	Regular Air	6.16	6.04	New Brunswick	Consumer	Office Supplies	Binders and Binder Accessories	Small Box	9/1/2011
51783	1/6/2011	Medium	50	1875.18	Delivery Truck	29.21	37.50	Nova Scotia	Consumer	Furniture	Tables	Jumbo Box	11/13/2011
39585	1/6/2011	Not Specified	50	166.17	Regular Air	3.63	3.32	Alberta	Corporate	Furniture	Office Furnishings	Wrap Bag	12/30/2011
17252	1/6/2011	Not Specified	50	11365.616	Delivery Truck	54.12	227.31	Ontario	Consumer	Furniture	Tables	Jumbo Box	5/1/2011
59044	1/6/2011	Critical	50	20.19	Regular Air	0.99	0.40	Manitoba	Small Business	Office Supplies	Labels	Small Box	7/22/2011
30848	1/6/2011	Medium	50	4324.29	Delivery Truck	40.19	86.49	Yukon	Corporate	Furniture	Tables	Jumbo Box	5/3/2011
31878	1/6/2011	Medium	50	5678.5525	Regular Air	8.99	113.57	Alberta	Home Office	Technology	Telephones and Communication	Small Box	12/19/2011
9124	1/6/2011	Low	50	2637.78	Regular Air	6.5	52.76	Manitoba	Small Business	Technology	Computer Peripherals	Small Box	10/16/2011
34215	1/7/2011	High	50	35.65	Regular Air	2.99	0.71	Northwest Territories	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	5/15/2011
31558	1/7/2011	Low	50	3671.3	Regular Air	24.49	73.43	Northwest Territories	Home Office	Office Supplies	Appliances	Large Box	7/28/2011
17287	1/7/2011	High	50	4361.6985	Regular Air	4.2	87.23	Alberta	Home Office	Technology	Telephones and Communication	Small Box	4/7/2011
48641	1/8/2011	High	50	66.83	Regular Air	0.8	1.34	British Columbia	Small Business	Office Supplies	Paper	Wrap Bag	12/6/2011
32803	1/8/2011	Medium	50	371.95	Express Air	4.71	7.44	Ontario	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	12/17/2011
32613	1/8/2011	Low	50	7174.9435	Express Air	3.99	143.50	Quebec	Consumer	Technology	Telephones and Communication	Small Box	12/18/2011
27298	1/8/2011	Low	50	164.92	Regular Air	4.86	3.30	British Columbia	Small Business	Office Supplies	Paper	Small Box	11/24/2011
58690	1/8/2011	High	50	3023.73	Delivery Truck	69.64	60.47	Ontario	Small Business	Furniture	Tables	Jumbo Box	11/6/2011
50306	1/8/2011	Medium	50	2010.89	Regular Air	11.55	40.22	Ontario	Small Business	Office Supplies	Binders and Binder Accessories	Small Box	5/22/2011
13730	1/9/2011	High	50	3617.64	Delivery Truck	43.75	72.35	Quebec	Corporate	Furniture	Tables	Jumbo Box	5/11/2011
31812	1/9/2011	High	49	38.52	Regular Air	0.7	0.79	Ontario	Small Business	Office Supplies	Rubber Bands	Wrap Bag	8/2/2011
10342	1/9/2011	Medium	49	1679.04	Regular Air	14.45	34.27	Ontario	Consumer	Furniture	Office Furnishings	Large Box	11/24/2011
36356	1/9/2011	Medium	49	117.77	Regular Air	0.5	2.40	British Columbia	Consumer	Office Supplies	Labels	Small Box	12/27/2011
58884	1/9/2011	Low	49	3732.25	Delivery Truck	60	76.17	Nova Scotia	Corporate	Furniture	Tables	Jumbo Drum	3/26/2011
30657	1/9/2011	High	49	273.38	Express Air	16.71	5.58	Saskachewan	Corporate	Technology	Computer Peripherals	Small Box	5/11/2011
512	1/9/2011	Low	49	806.37	Express Air	10.68	16.46	Saskachewan	Home Office	Office Supplies	Storage & Organization	Small Box	5/21/2011
28898	1/9/2011	Low	49	246	Regular Air	7.96	5.02	British Columbia	Corporate	Office Supplies	Paper	Small Box	5/28/2011
2882	1/9/2011	High	49	3872.87	Delivery Truck	30	79.04	Alberta	Consumer	Furniture	Chairs & Chairmats	Jumbo Drum	8/23/2011
42214	1/9/2011	Low	49	569.92	Regular Air	2.85	11.63	Saskachewan	Home Office	Furniture	Office Furnishings	Small Pack	5/31/2011
4387	1/10/2011	Critical	49	640.21	Delivery Truck	39.25	13.07	Ontario	Corporate	Furniture	Tables	Jumbo Box	10/23/2011
35875	1/10/2011	High	49	348.92	Regular Air	3.37	7.12	British Columbia	Corporate	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	6/14/2011
8768	1/10/2011	High	49	2422.4405	Regular Air	5.31	49.44	Alberta	Small Business	Technology	Telephones and Communication	Small Box	8/19/2011
